ds;y
2014-01-01;121
2014-01-02;193
2014-01-03;508
2014-01-04;724
2014-01-05;608
2014-01-06;946
2014-01-07;400
2014-01-08;1168
2014-01-09;12727
2014-01-10;14653
2014-01-11;1933
2014-01-12;1383
2014-01-13;18387
2014-01-14;18568
2014-01-15;16934
2014-01-16;12428
2014-01-17;11564
2014-01-18;1405
2014-01-19;855
2014-01-20;10143
2014-01-21;5149
2014-01-22;4678
2014-01-23;4126
2014-01-24;4064
2014-01-25;120
2014-01-26;108
2014-01-27;3886
2014-01-28;4047
2014-01-29;3809
2014-01-30;3685
2014-01-31;3184
2014-02-01;101
2014-02-02;95
2014-02-03;3171
2014-02-04;3511
2014-02-05;3695
2014-02-06;3835
2014-02-07;3545
2014-02-08;185
2014-02-09;123
2014-02-10;3733
2014-02-11;3721
2014-02-12;4025
2014-02-13;3857
2014-02-14;3373
2014-02-15;154
2014-02-16;103
2014-02-17;3368
2014-02-18;3337
2014-02-19;3173
2014-02-20;3202
2014-02-21;2550
2014-02-22;93
2014-02-23;33
2014-02-24;2889
2014-02-25;3123
2014-02-26;3444
2014-02-27;3298
2014-02-28;2990
2014-03-01;90
2014-03-02;82
2014-03-03;3302
2014-03-04;3432
2014-03-05;3630
2014-03-06;3467
2014-03-07;2389
2014-03-08;36
2014-03-09;45
2014-03-10;143
2014-03-11;3738
2014-03-12;4148
2014-03-13;4284
2014-03-14;3938
2014-03-15;179
2014-03-16;116
2014-03-17;4309
2014-03-18;4701
2014-03-19;5086
2014-03-20;5024
2014-03-21;5265
2014-03-22;253
2014-03-23;145
2014-03-24;5201
2014-03-25;5858
2014-03-26;6292
2014-03-27;6423
2014-03-28;6109
2014-03-29;379
2014-03-30;218
2014-03-31;5610
2014-04-01;5130
2014-04-02;5247
2014-04-03;5914
2014-04-04;5342
2014-04-05;210
2014-04-06;214
2014-04-07;6166
2014-04-08;6789
2014-04-09;7306
2014-04-10;7583
2014-04-11;8159
2014-04-12;601
2014-04-13;485
2014-04-14;9191
2014-04-15;9429
2014-04-16;8727
2014-04-17;9488
2014-04-18;10101
2014-04-19;767
2014-04-20;432
2014-04-21;8490
2014-04-22;3913
2014-04-23;3665
2014-04-24;3652
2014-04-25;3260
2014-04-26;103
2014-04-27;87
2014-04-28;3131
2014-04-29;2982
2014-04-30;2591
2014-05-01;39
2014-05-02;42
2014-05-03;26
2014-05-04;48
2014-05-05;2273
2014-05-06;2437
2014-05-07;2575
2014-05-08;2131
2014-05-09;24
2014-05-10;48
2014-05-11;39
2014-05-12;2484
2014-05-13;2777
2014-05-14;2927
2014-05-15;2560
2014-05-16;2219
2014-05-17;18
2014-05-18;24
2014-05-19;2225
2014-05-20;2310
2014-05-21;2396
2014-05-22;2371
2014-05-23;2178
2014-05-24;21
2014-05-25;22
2014-05-26;2319
2014-05-27;2562
2014-05-28;2607
2014-05-29;2469
2014-05-30;2630
2014-05-31;37
2014-06-01;38
2014-06-02;2365
2014-06-03;2442
2014-06-04;2749
2014-06-05;2751
2014-06-06;2501
2014-06-07;40
2014-06-08;38
2014-06-09;2697
2014-06-10;3041
2014-06-11;2496
2014-06-12;67
2014-06-13;39
2014-06-14;35
2014-06-15;43
2014-06-16;3067
2014-06-17;3208
2014-06-18;3470
2014-06-19;3602
2014-06-20;3318
2014-06-21;66
2014-06-22;69
2014-06-23;3769
2014-06-24;4079
2014-06-25;4384
2014-06-26;4382
2014-06-27;4424
2014-06-28;115
2014-06-29;116
2014-06-30;4778
2014-07-01;5735
2014-07-02;5605
2014-07-03;5855
2014-07-04;5225
2014-07-05;264
2014-07-06;221
2014-07-07;6128
2014-07-08;6901
2014-07-09;7554
2014-07-10;7434
2014-07-11;7175
2014-07-12;338
2014-07-13;391
2014-07-14;8473
2014-07-15;8236
2014-07-16;5949
2014-07-17;6172
2014-07-18;6104
2014-07-19;322
2014-07-20;268
2014-07-21;5896
2014-07-22;3511
2014-07-23;3382
2014-07-24;3390
2014-07-25;3088
2014-07-26;74
2014-07-27;45
2014-07-28;3122
2014-07-29;3209
2014-07-30;2900
2014-07-31;2874
2014-08-01;2426
2014-08-02;51
2014-08-03;51
2014-08-04;2748
2014-08-05;2979
2014-08-06;3109
2014-08-07;2990
2014-08-08;2578
2014-08-09;77
2014-08-10;59
2014-08-11;2894
2014-08-12;3233
2014-08-13;3022
2014-08-14;3336
2014-08-15;3037
2014-08-16;37
2014-08-17;45
2014-08-18;3203
2014-08-19;3046
2014-08-20;2931
2014-08-21;3140
2014-08-22;2578
2014-08-23;62
2014-08-24;185
2014-08-25;2839
2014-08-26;3105
2014-08-27;3005
2014-08-28;3195
2014-08-29;3057
2014-08-30;274
2014-08-31;74
2014-09-01;2934
2014-09-02;3308
2014-09-03;3398
2014-09-04;3404
2014-09-05;3009
2014-09-06;63
2014-09-07;105
2014-09-08;3090
2014-09-09;3577
2014-09-10;3924
2014-09-11;3677
2014-09-12;3437
2014-09-13;76
2014-09-14;153
2014-09-15;3890
2014-09-16;4444
2014-09-17;4489
2014-09-18;4393
2014-09-19;3881
2014-09-20;107
2014-09-21;75
2014-09-22;4683
2014-09-23;5074
2014-09-24;5460
2014-09-25;5249
2014-09-26;4873
2014-09-27;165
2014-09-28;120
2014-09-29;5810
2014-09-30;6601
2014-10-01;6646
2014-10-02;6876
2014-10-03;6367
2014-10-04;344
2014-10-05;280
2014-10-06;7597
2014-10-07;8669
2014-10-08;9100
2014-10-09;8853
2014-10-10;8446
2014-10-11;418
2014-10-12;372
2014-10-13;10364
2014-10-14;11084
2014-10-15;9884
2014-10-16;7538
2014-10-17;7783
2014-10-18;611
2014-10-19;582
2014-10-20;8572
2014-10-21;4346
2014-10-22;4559
2014-10-23;4975
2014-10-24;4358
2014-10-25;138
2014-10-26;179
2014-10-27;5465
2014-10-28;5248
2014-10-29;4426
2014-10-30;4288
2014-10-31;3466
2014-11-01;83
2014-11-02;68
2014-11-03;146
2014-11-04;174
2014-11-05;4431
2014-11-06;4593
2014-11-07;4146
2014-11-08;158
2014-11-09;140
2014-11-10;4869
2014-11-11;5090
2014-11-12;5105
2014-11-13;4776
2014-11-14;4518
2014-11-15;156
2014-11-16;179
2014-11-17;5000
2014-11-18;4712
2014-11-19;4591
2014-11-20;4634
2014-11-21;3977
2014-11-22;107
2014-11-23;128
2014-11-24;4786
2014-11-25;4990
2014-11-26;4744
2014-11-27;4989
2014-11-28;4325
2014-11-29;135
2014-11-30;143
2014-12-01;5143
2014-12-02;5709
2014-12-03;6169
2014-12-04;6274
2014-12-05;6045
2014-12-06;152
2014-12-07;238
2014-12-08;6069
2014-12-09;6794
2014-12-10;6734
2014-12-11;6438
2014-12-12;5962
2014-12-13;232
2014-12-14;252
2014-12-15;7811
2014-12-16;7602
2014-12-17;7718
2014-12-18;7341
2014-12-19;6877
2014-12-20;289
2014-12-21;301
2014-12-22;8752
2014-12-23;9098
2014-12-24;9422
2014-12-25;9600
2014-12-26;9047
2014-12-27;479
2014-12-28;356
2014-12-29;10085
2014-12-30;9597
2014-12-31;2841
2015-01-01;67
2015-01-02;179
2015-01-03;281
2015-01-04;332
2015-01-05;983
2015-01-06;896
2015-01-07;336
2015-01-08;843
2015-01-09;1047
2015-01-10;528
2015-01-11;632
2015-01-12;13921
2015-01-13;15164
2015-01-14;14982
2015-01-15;14810
2015-01-16;14913
2015-01-17;1388
2015-01-18;1141
2015-01-19;17052
2015-01-20;15997
2015-01-21;10626
2015-01-22;10322
2015-01-23;10444
2015-01-24;825
2015-01-25;567
2015-01-26;10070
2015-01-27;6014
2015-01-28;5744
2015-01-29;5407
2015-01-30;5159
2015-01-31;223
2015-02-01;186
2015-02-02;4978
2015-02-03;5201
2015-02-04;5301
2015-02-05;5487
2015-02-06;5170
2015-02-07;189
2015-02-08;160
2015-02-09;6258
2015-02-10;6311
2015-02-11;6103
2015-02-12;5963
2015-02-13;5607
2015-02-14;294
2015-02-15;198
2015-02-16;6237
2015-02-17;6475
2015-02-18;6098
2015-02-19;5807
2015-02-20;4755
2015-02-21;168
2015-02-22;92
2015-02-23;183
2015-02-24;5558
2015-02-25;5954
2015-02-26;6314
2015-02-27;5991
2015-02-28;226
2015-03-01;243
2015-03-02;6563
2015-03-03;6949
2015-03-04;6443
2015-03-05;6665
2015-03-06;5081
2015-03-07;132
2015-03-08;62
2015-03-09;221
2015-03-10;6677
2015-03-11;6806
2015-03-12;6576
2015-03-13;6138
2015-03-14;302
2015-03-15;255
2015-03-16;6847
2015-03-17;7079
2015-03-18;7281
2015-03-19;7114
2015-03-20;6666
2015-03-21;365
2015-03-22;305
2015-03-23;7559
2015-03-24;7841
2015-03-25;8053
2015-03-26;7949
2015-03-27;7952
2015-03-28;450
2015-03-29;433
2015-03-30;8060
2015-03-31;7630
2015-04-01;6557
2015-04-02;6564
2015-04-03;6062
2015-04-04;287
2015-04-05;297
2015-04-06;7364
2015-04-07;7994
2015-04-08;8427
2015-04-09;8474
2015-04-10;8552
2015-04-11;597
2015-04-12;249
2015-04-13;8844
2015-04-14;10059
2015-04-15;9986
2015-04-16;9841
2015-04-17;9847
2015-04-18;920
2015-04-19;589
2015-04-20;10139
2015-04-21;7750
2015-04-22;8227
2015-04-23;8237
2015-04-24;8133
2015-04-25;647
2015-04-26;371
2015-04-27;8164
2015-04-28;5179
2015-04-29;4478
2015-04-30;3737
2015-05-01;72
2015-05-02;55
2015-05-03;50
2015-05-04;101
2015-05-05;3369
2015-05-06;3615
2015-05-07;3672
2015-05-08;3148
2015-05-09;20
2015-05-10;50
2015-05-11;119
2015-05-12;3883
2015-05-13;3956
2015-05-14;4042
2015-05-15;3646
2015-05-16;93
2015-05-17;99
2015-05-18;4525
2015-05-19;4790
2015-05-20;4820
2015-05-21;3921
2015-05-22;3735
2015-05-23;60
2015-05-24;48
2015-05-25;3923
2015-05-26;4044
2015-05-27;3885
2015-05-28;3557
2015-05-29;3008
2015-05-30;79
2015-05-31;62
2015-06-01;3009
2015-06-02;3410
2015-06-03;3370
2015-06-04;3554
2015-06-05;3142
2015-06-06;67
2015-06-07;48
2015-06-08;3511
2015-06-09;3869
2015-06-10;3651
2015-06-11;3412
2015-06-12;89
2015-06-13;66
2015-06-14;76
2015-06-15;3785
2015-06-16;4029
2015-06-17;4326
2015-06-18;4019
2015-06-19;3697
2015-06-20;116
2015-06-21;109
2015-06-22;4472
2015-06-23;4544
2015-06-24;4826
2015-06-25;5037
2015-06-26;4494
2015-06-27;126
2015-06-28;185
2015-06-29;4922
2015-06-30;5450
2015-07-01;5694
2015-07-02;5984
2015-07-03;5343
2015-07-04;196
2015-07-05;176
2015-07-06;6312
2015-07-07;6796
2015-07-08;6849
2015-07-09;6874
2015-07-10;7468
2015-07-11;290
2015-07-12;271
2015-07-13;7458
2015-07-14;7955
2015-07-15;7964
2015-07-16;7990
2015-07-17;7129
2015-07-18;547
2015-07-19;364
2015-07-20;7938
2015-07-21;6228
2015-07-22;6036
2015-07-23;6285
2015-07-24;6454
2015-07-25;403
2015-07-26;260
2015-07-27;6573
2015-07-28;3912
2015-07-29;3293
2015-07-30;3280
2015-07-31;2617
2015-08-01;86
2015-08-02;69
2015-08-03;3257
2015-08-04;3753
2015-08-05;3483
2015-08-06;3428
2015-08-07;3581
2015-08-08;84
2015-08-09;90
2015-08-10;3618
2015-08-11;3726
2015-08-12;3936
2015-08-13;3423
2015-08-14;3165
2015-08-15;79
2015-08-16;67
2015-08-17;3205
2015-08-18;3673
2015-08-19;3382
2015-08-20;3440
2015-08-21;2628
2015-08-22;53
2015-08-23;59
2015-08-24;3135
2015-08-25;3433
2015-08-26;3276
2015-08-27;3061
2015-08-28;2671
2015-08-29;144
2015-08-30;88
2015-08-31;3096
2015-09-01;3065
2015-09-02;3566
2015-09-03;3653
2015-09-04;3358
2015-09-05;107
2015-09-06;70
2015-09-07;3831
2015-09-08;3953
2015-09-09;3866
2015-09-10;3992
2015-09-11;3523
2015-09-12;126
